unitid,Other,Female,Male,Asian,American Indian,Black,Hispanic,White,Unknown
134811,144,144,144,72,72,72,72,72,72
134875,54,54,54,27,27,27,27,27,27
134909,144,144,144,72,72,72,72,72,72
134945,144,144,144,72,72,72,72,72,72
135063,144,144,144,72,72,72,72,72,72
135081,144,144,144,72,72,72,72,72,72
135124,72,72,72,36,36,36,36,36,36
135160,90,90,90,45,45,45,45,45,45
135188,90,90,90,45,45,45,45,45,45
135364,144,144,144,72,72,72,72,72,72
135391,144,144,144,72,72,72,72,72,72
135717,144,144,144,72,72,72,72,72,72
135726,144,144,144,72,72,72,72,72,72
135939,144,144,144,72,72,72,72,72,72
135957,72,72,72,36,36,36,36,36,36
136011,54,54,54,27,27,27,27,27,27
136066,144,144,144,72,72,72,72,72,72
136075,54,54,54,27,27,27,27,27,27
136145,72,72,72,36,36,36,36,36,36
136172,144,144,144,72,72,72,72,72,72
136206,144,144,144,72,72,72,72,72,72
136215,144,144,144,72,72,72,72,72,72
136233,144,144,144,72,72,72,72,72,72
136288,144,144,144,72,72,72,72,72,72
136330,144,144,144,72,72,72,72,72,72
136358,144,144,144,72,72,72,72,72,72
136400,72,72,72,36,36,36,36,36,36
136473,144,144,144,72,72,72,72,72,72
136516,144,144,144,72,72,72,72,72,72
136774,144,144,144,72,72,72,72,72,72
136950,144,144,144,72,72,72,72,72,72
137032,144,144,144,72,72,72,72,72,72
137078,144,144,144,72,72,72,72,72,72
137096,144,144,144,72,72,72,72,72,72
137148,36,36,36,18,18,18,18,18,18
137209,144,144,144,72,72,72,72,72,72
137281,144,144,144,72,72,72,72,72,72
137315,90,90,90,45,45,45,45,45,45
137351,144,144,144,72,72,72,72,72,72
137476,144,144,144,72,72,72,72,72,72
137537,54,54,54,27,27,27,27,27,27
137546,144,144,144,72,72,72,72,72,72
137564,144,144,144,72,72,72,72,72,72
137759,72,72,72,36,36,36,36,36,36
137801,144,144,144,72,72,72,72,72,72
137810,144,144,144,72,72,72,72,72,72
137847,144,144,144,72,72,72,72,72,72
137892,54,54,54,27,27,27,27,27,27
137953,144,144,144,72,72,72,72,72,72
137962,144,144,144,72,72,72,72,72,72
138187,90,90,90,45,45,45,45,45,45
138275,144,144,144,72,72,72,72,72,72
138293,144,144,144,72,72,72,72,72,72
138309,144,144,144,72,72,72,72,72,72
138354,144,144,144,72,72,72,72,72,72
138558,144,144,144,72,72,72,72,72,72
138600,144,144,144,72,72,72,72,72,72
138655,72,72,72,36,36,36,36,36,36
138682,72,72,72,36,36,36,36,36,36
138691,72,72,72,36,36,36,36,36,36
138716,144,144,144,72,72,72,72,72,72
138761,72,72,72,36,36,36,36,36,36
138789,144,144,144,72,72,72,72,72,72
138813,144,144,144,72,72,72,72,72,72
138840,72,72,72,36,36,36,36,36,36
138868,144,144,144,72,72,72,72,72,72
138901,90,90,90,45,45,45,45,45,45
138947,144,144,144,72,72,72,72,72,72
138956,72,72,72,36,36,36,36,36,36
138983,108,108,108,54,54,54,54,54,54
139010,72,72,72,36,36,36,36,36,36
139074,144,144,144,72,72,72,72,72,72
139144,144,144,144,72,72,72,72,72,72
139153,144,144,144,72,72,72,72,72,72
139199,144,144,144,72,72,72,72,72,72
139205,144,144,144,72,72,72,72,72,72
139214,72,72,72,36,36,36,36,36,36
